kind,stand,stand_label,id,tree_num,position,bearing_deg,distance_m,east_m,north_m,latitude,longitude,dbh_cm,disease_initial,disease_2_mai,disease_4_mai,audpc_adj_2mai,audpc_adj_4mai,months
tree,no_fungus_control,No-fungus control,no_fungus_control-T4,4,,350,3,-0.521,2.954,37.31738662,-76.88526588,10.16,1,1,1,0,0,
tree,no_fungus_control,No-fungus control,no_fungus_control-T5,5,,340,4.2,-1.436,3.947,37.31739556,-76.88527621,12.192,1,1,1,0,0,
tree,no_fungus_control,No-fungus control,no_fungus_control-T6,6,,330,4.4,-2.2,3.811,37.31739433,-76.88528482,10.922,1,1,1,0,0,
tree,no_fungus_control,No-fungus control,no_fungus_control-T7,7,,10,6.4,1.111,6.303,37.31741679,-76.88524746,16.764,1,1,4,0,4.5,
tree,no_fungus_control,No-fungus control,no_fungus_control-T8,8,,360,8.1,-0.0,8.1,37.31743298,-76.88526,13.208,1,1,1,0,0,
tree,no_fungus_control,No-fungus control,no_fungus_control-T9,9,,5,9.2,0.802,9.165,37.31744258,-76.88525095,16.002,1,1,4,0,4.5,
tree,no_fungus_control,No-fungus control,no_fungus_control-T10,10,,30,8.2,4.1,7.101,37.31742399,-76.88521375,16.256,1,1,1,0,0,
tree,no_fungus_control,No-fungus control,no_fungus_control-T11,11,,30,8.7,4.35,7.534,37.31742789,-76.88521093,12.446,1,1,1,0,0,
tree,no_fungus_control,No-fungus control,no_fungus_control-T12,12,,95,4.95,4.931,-0.431,37.31735611,-76.88520437,8.382,1,1,1,0,0,
tree,no_fungus_control,No-fungus control,no_fungus_control-T13,13,,100,3.75,3.693,-0.651,37.31735413,-76.88521834,9.652,1,1,1,0,0,
tree,no_fungus_control,No-fungus control,no_fungus_control-T14,14,,110,3.6,3.383,-1.231,37.31734891,-76.88522184,8.89,1,1,1,0,0,
tree,no_fungus_control,No-fungus control,no_fungus_control-T15,15,,120,5,4.33,-2.5,37.31733747,-76.88521115,10.414,1,1,1,0,0,
tree,no_fungus_control,No-fungus control,no_fungus_control-T16,16,,170,4.27,0.741,-4.205,37.31732211,-76.88525163,7.874,1,1,1,0,0,
tree,no_fungus_control,No-fungus control,no_fungus_control-T17,17,,180,5.45,0.0,-5.45,37.31731089,-76.88526,9.906,1,1,1,0,0,
tree,no_fungus_control,No-fungus control,no_fungus_control-T18,18,,210,5.9,-2.95,-5.11,37.31731396,-76.88529328,11.684,1,1,1,0,0,
tree,no_fungus_control,No-fungus control,no_fungus_control-T19,19,,210,7,-3.5,-6.062,37.31730538,-76.88529949,12.7,1,1,1,0,0,
tree,no_fungus_control,No-fungus control,no_fungus_control-T20,20,,200,7.9,-2.702,-7.424,37.31729311,-76.88529048,10.922,1,1,1,0,0,
tree,no_fungus_control,No-fungus control,no_fungus_control-T21,21,,70,3.05,2.866,1.043,37.3173694,-76.88522767,8.085077938241465,1,1,1,0,0,
tree,no_fungus_control,No-fungus control,no_fungus_control-T22,22,,30,3.2,1.6,2.771,37.31738497,-76.88524195,7.276570144417318,1,1,1,0,0,
tree,no_fungus_control,No-fungus control,no_fungus_control-T23,23,,45,5.6,3.96,3.96,37.31739568,-76.88521533,7.680824041329392,1,1,1,0,0,
tree,no_fungus_control,No-fungus control,no_fungus_control-T24,24,,95,7.6,7.571,-0.662,37.31735403,-76.88517459,6.063808453681098,1,1,1,0,0,
tree,no_fungus_control,No-fungus control,no_fungus_control-T25,25,,100,6.3,6.204,-1.094,37.31735014,-76.88519001,4.851046762944878,1,1,1,0,0,
tree,no_fungus_control,No-fungus control,no_fungus_control-T26,26,,95,9.95,9.912,-0.867,37.31735219,-76.88514818,4.446792866032805,1,1,1,0,0,
tree,no_fungus_control,No-fungus control,no_fungus_control-T27,27,,87,8.5,8.488,0.445,37.31736401,-76.88516424,7.680824041329392,1,1,1,0,0,
tree,no_fungus_control,No-fungus control,no_fungus_control-T28,28,,60,7.2,6.235,3.6,37.31739244,-76.88518966,8.085077938241465,1,1,1,0,0,
tree,no_fungus_control,No-fungus control,no_fungus_control-T29,29,,58,8,6.784,4.239,37.3173982,-76.88518346,6.468062350593172,1,1,1,0,0,
tree,no_fungus_control,No-fungus control,no_fungus_control-T30,30,,60,8.45,7.318,4.225,37.31739807,-76.88517744,6.953167026887659,1,1,1,0,0,
tree,no_fungus_control,No-fungus control,no_fungus_control-T31,31,,65,8.7,7.885,3.677,37.31739313,-76.88517105,7.034017806270073,1,1,1,0,0,
tree,no_fungus_control,No-fungus control,no_fungus_control-T32,32,,75,8.85,8.548,2.291,37.31738064,-76.88516356,2.021269484560366,1,1,1,0,0,
tree,no_fungus_control,No-fungus control,no_fungus_control-T33,33,,180,4.3,0.0,-4.3,37.31732126,-76.88526,7.680824041329392,1,1,1,0,0,
tree,no_fungus_control,No-fungus control,no_fungus_control-T34,34,,200,3.75,-1.283,-3.524,37.31732825,-76.88527447,4.446792866032805,1,1,1,0,0,
tree,no_fungus_control,No-fungus control,no_fungus_control-T35,35,,190,5,-0.868,-4.924,37.31731563,-76.8852698,2.829777278384512,1,1,1,0,0,
tree,no_fungus_control,No-fungus control,no_fungus_control-T36,36,,195,5,-1.294,-4.83,37.31731648,-76.8852746,4.042538969120733,1,1,1,0,0,
tree,no_fungus_control,No-fungus control,no_fungus_control-T37,37,,210,3.8,-1.9,-3.291,37.31733035,-76.88528143,7.276570144417318,1,1,1,0,0,
tree,no_fungus_control,No-fungus control,no_fungus_control-T38,38,,225,5.05,-3.571,-3.571,37.31732783,-76.88530029,4.042538969120733,1,1,1,0,0,
tree,no_fungus_control,No-fungus control,no_fungus_control-T39,39,,235,4.8,-3.932,-2.753,37.31733519,-76.88530436,11.72336301045012,1,1,1,0,0,
tree,no_fungus_control,No-fungus control,no_fungus_control-T40,40,,225,5.8,-4.101,-4.101,37.31732305,-76.88530627,8.085077938241465,1,1,1,0,0,
tree,no_fungus_control,No-fungus control,no_fungus_control-T41,41,,260,6.5,-6.401,-1.129,37.31734983,-76.88533222,4.851046762944878,1,1,1,0,0,
tree,no_fungus_control,No-fungus control,no_fungus_control-T42,42,,310,2.5,-1.915,1.607,37.31737448,-76.88528161,1.617015587648293,1,1,1,0,0,
tree,no_fungus_control,No-fungus control,no_fungus_control-T43,43,,300,4,-3.464,2.0,37.31737802,-76.88529908,6.468062350593172,1,1,1,0,0,
