"alpha","beta","species","response","family","n","slope_per_SD","se","statistic","p","dAICc","dispersion"
0,0.15,"wsr","length","gaussian",38,1.64593222682832,1.49083629335054,1.10403283993658,0.277331428714283,-1.32444204644133,NA
0,0.15,"wsr","ratio","gaussian",38,-0.0205198639029949,0.0517053694214274,-0.396861373056764,0.693949903000394,-2.48725700529222,NA
0,0.15,"wsr","germination","quasibinomial",45,-0.186072930524191,0.212964936392326,-0.873725664310323,0.387356703824436,-1.70534789738055,3.47482841809996
0,0.15,"yar","length","gaussian",44,0.749377596677709,1.19990532328876,0.62453060431783,0.535825443825516,-2.12634230786421,NA
0,0.15,"yar","ratio","gaussian",44,-0.133912619302185,0.0726909129280975,-1.84221952797106,0.0728648231406249,1.02989933068056,NA
0,0.15,"yar","germination","quasibinomial",45,-0.132406225098625,0.259579277471337,-0.510080104962326,0.612730490758401,-2.26549435763781,12.8844198776979
0,0.2,"bes","length","gaussian",40,0.617627921691534,1.90298986810063,0.324556600139962,0.747395132706213,-2.50497854260669,NA
0,0.2,"bes","ratio","gaussian",40,-0.1841282291614,0.092201550108111,-1.99701880223814,0.053425773963229,1.58065420809791,NA
0,0.2,"bes","germination","quasibinomial",45,-0.192136102712864,0.204422713216101,-0.939896059934162,0.352775611930827,-1.59055389357088,2.7958699846329
0,0.2,"jg","length","gaussian",44,-1.23580066374707,3.76447171657071,-0.328279970415832,0.744412341334874,-2.43492123458543,NA
0,0.2,"jg","ratio","gaussian",44,-0.00514746501024595,0.0686320827448655,-0.0750008568060109,0.940587877632453,-2.54711913644391,NA
0,0.2,"jg","germination","quasibinomial",45,-0.183902917635758,0.155477368348655,-1.18282756898328,0.243691331044235,-0.967201468143898,4.68460629535852
0,0.2,"wsr","length","gaussian",38,1.55623877271281,1.45018846549986,1.07312863792251,0.290771174076177,-1.39710805452972,NA
0,0.2,"wsr","ratio","gaussian",38,-0.0126293912424905,0.0503172022068348,-0.25099549833029,0.803328322871465,-2.59253358255774,NA
0,0.2,"wsr","germination","quasibinomial",45,-0.166775957812824,0.212928786996113,-0.783247583220715,0.437982908380073,-1.85728457116274,3.46751991682412
0,0.2,"yar","length","gaussian",44,0.294935674327759,1.20694036726529,0.244366401461931,0.808196233806988,-2.48766889282228,NA
0,0.2,"yar","ratio","gaussian",44,-0.120981044317117,0.0733917919283687,-1.64842744860618,0.107098709399795,0.338586699409149,NA
0,0.2,"yar","germination","quasibinomial",45,-0.137028696655538,0.261534226969891,-0.523941735057542,0.603140068484802,-2.24481345745212,12.8813256146978
0,0.3,"bes","length","gaussian",40,0.609953276671333,1.82252309763765,0.33467519696291,0.73981229106224,-2.49758918113378,NA
0,0.3,"bes","ratio","gaussian",40,-0.173290336724164,0.0884795928678667,-1.95853451747853,0.057949956787643,1.42809163409851,NA
0,0.3,"bes","germination","quasibinomial",45,-0.184998625853387,0.202619791318686,-0.913033345110973,0.366562951090835,-1.62434769433827,2.7945742072885
0,0.3,"jg","length","gaussian",44,-3.05798029127675,3.62980069794911,-0.842465067849195,0.404536977814047,-1.77942979820449,NA
0,0.3,"jg","ratio","gaussian",44,-0.0132282500036316,0.0666434745036473,-0.198492802215881,0.843664947350499,-2.50998834128166,NA
0,0.3,"jg","germination","quasibinomial",45,-0.220525498035294,0.165615942728768,-1.33154752134251,0.19036501816281,-0.384478438688774,4.64654324480862
0,0.3,"wsr","length","gaussian",38,1.38267490193544,1.38695857523392,0.996911462696166,0.325849943093423,-1.56804915819822,NA
0,0.3,"wsr","ratio","gaussian",38,-0.00135603670359641,0.0480590961273781,-0.0282160259527625,0.977654827706004,-2.66198899016174,NA
0,0.3,"wsr","germination","quasibinomial",45,-0.128741308176559,0.206274881589527,-0.624124988871625,0.536003032194263,-2.10363601286056,3.46149081484474
0,0.3,"yar","length","gaussian",44,-0.360049885983509,1.18551980285363,-0.303706344775382,0.762925834916458,-2.45196184677462,NA
0,0.3,"yar","ratio","gaussian",44,-0.095848122452152,0.0729707549856389,-1.31351419443331,0.196494374701963,-0.695244703561364,NA
0,0.3,"yar","germination","quasibinomial",45,-0.143065267451823,0.264892394427587,-0.5400882413441,0.592057936300555,-2.21689791926777,12.8702503049476
0,0.5,"bes","length","gaussian",40,0.674074562958936,1.75701668633142,0.383647217583559,0.703496429093373,-2.45864304672602,NA
0,0.5,"bes","ratio","gaussian",40,-0.165252137341614,0.0854431686878475,-1.93405909307197,0.0609967988902132,1.33231160297399,NA
0,0.5,"bes","germination","quasibinomial",45,-0.167219467139329,0.19733640850643,-0.847382743027272,0.401701423106751,-1.74666800443035,2.8000371564356
0,0.5,"jg","length","gaussian",44,-4.73370149434459,3.49222930682121,-1.35549560995278,0.182864447312705,-0.577245852570059,NA
0,0.5,"jg","ratio","gaussian",44,-0.0159969035750035,0.0649823818690742,-0.246172933568884,0.806807266116577,-2.4866955640963,NA
0,0.5,"jg","germination","quasibinomial",45,-0.250379426705213,0.176765719585354,-1.4164478683567,0.164197756878461,0.10959325288448,4.63766465657353
0,0.5,"wsr","length","gaussian",38,1.19455613319035,1.3122358189134,0.910321236452385,0.369061894626978,-1.74780849566639,NA
0,0.5,"wsr","ratio","gaussian",38,0.00850089645209172,0.0453395768897904,0.18749395197832,0.852387820671112,-2.62360934090092,NA
0,0.5,"wsr","germination","quasibinomial",45,-0.0840965588259037,0.191829347191485,-0.438392561185948,0.663403072431947,-2.32907753487922,3.46028749020439
0,0.5,"yar","length","gaussian",44,-0.9034475521626,1.12561445544001,-0.802626110384694,0.426934214177488,-1.8503225815985,NA
0,0.5,"yar","ratio","gaussian",44,-0.0690141444793448,0.070406754781788,-0.980220501473768,0.332869035335275,-1.50888518200837,NA
0,0.5,"yar","germination","quasibinomial",45,-0.152769131983338,0.270078040796654,-0.565648105017025,0.574715823366879,-2.17409218901068,12.837561842936
1,0.05,"bes","length","gaussian",40,0.902699593710732,2.04498870200288,0.441420332946886,0.661548762030672,-2.40593042586005,NA
1,0.05,"bes","ratio","gaussian",40,-0.186237227955074,0.0998412492887732,-1.86533350976424,0.0703011800241541,1.06862441133485,NA
1,0.05,"bes","germination","quasibinomial",45,-0.161258349913688,0.201324584933604,-0.800986873842904,0.427756771726429,-1.88776576328537,2.82153183250587
1,0.05,"jg","length","gaussian",44,3.16984433975559,3.93973705585942,0.80458271575287,0.425816985542009,-1.846918399738,NA
1,0.05,"jg","ratio","gaussian",44,0.0353497379591501,0.0720977431081842,0.490302975310989,0.626598327472384,-2.28966108737309,NA
1,0.05,"jg","germination","quasibinomial",45,-0.110761294587496,0.143857081204055,-0.769939815686833,0.445749279739092,-1.93423584745163,4.80371217705127
1,0.05,"wsr","length","gaussian",38,1.65598434154796,1.50508049942775,1.10026297076972,0.278946821819605,-1.33340921524797,NA
1,0.05,"wsr","ratio","gaussian",38,-0.035070416983672,0.0519670838368171,-0.674858283250938,0.504329415553979,-2.15724365837849,NA
1,0.05,"wsr","germination","quasibinomial",45,-0.159416440678055,0.201845172700375,-0.789795656469315,0.434191277369244,-1.89566794227549,3.50917402146231
1,0.05,"yar","length","gaussian",44,1.5757208035248,1.11237758337748,1.41653412211031,0.164360374116561,-0.399657932655145,NA
1,0.05,"yar","ratio","gaussian",44,-0.147739838631515,0.0676608673671249,-2.18353450643612,0.0349219603702781,2.40154198738521,NA
1,0.05,"yar","germination","quasibinomial",45,-0.113273805018944,0.256221546837095,-0.442093205732472,0.660745051988667,-2.34015859789638,12.8660921220247
1,0.1,"bes","length","gaussian",40,0.898629615352529,2.0093360724983,0.447227135197558,0.657390416089079,-2.40022814275289,NA
1,0.1,"bes","ratio","gaussian",40,-0.190742535729487,0.0976972552166707,-1.95238377277297,0.058702976214435,1.40393016018339,NA
1,0.1,"bes","germination","quasibinomial",45,-0.176991217793871,0.201158989172149,-0.879857363184519,0.384064779054482,-1.74274961419501,2.81044209697507
1,0.1,"jg","length","gaussian",44,1.47975918420972,3.90765254630406,0.378682384545502,0.706926317196398,-2.39584803593903,NA
1,0.1,"jg","ratio","gaussian",44,0.0274183850836788,0.0711471822160225,0.385375558520772,0.702001020003075,-2.39024311788986,NA
